date,daily_total,dow,week_weekend,device,month,time_period
2020-01-01,16903,Wed,Weekday,Fitbit,1,pre_covid
2020-01-02,16707,Thu,Weekday,Fitbit,1,pre_covid
2020-01-03,18046,Fri,Weekday,Fitbit,1,pre_covid
2020-01-04,18262,Sat,Weekend,Fitbit,1,pre_covid
2020-01-05,16172,Sun,Weekend,Fitbit,1,pre_covid
2020-01-06,12009,Mon,Weekday,Fitbit,1,pre_covid
2020-01-07,16923,Tue,Weekday,Fitbit,1,pre_covid
2020-01-08,11248,Wed,Weekday,Fitbit,1,pre_covid
2020-01-09,18335,Thu,Weekday,Fitbit,1,pre_covid
2020-01-10,12539,Fri,Weekday,Fitbit,1,pre_covid
2020-01-11,30260,Sat,Weekend,Fitbit,1,pre_covid
2020-01-12,13528,Sun,Weekend,Fitbit,1,pre_covid
2020-01-13,13355,Mon,Weekday,Fitbit,1,pre_covid
2020-01-14,17061,Tue,Weekday,Fitbit,1,pre_covid
2020-01-15,11509,Wed,Weekday,Fitbit,1,pre_covid
2020-01-16,24754,Thu,Weekday,Fitbit,1,pre_covid
2020-01-17,18236,Fri,Weekday,Fitbit,1,pre_covid
2020-01-18,14507,Sat,Weekend,Fitbit,1,pre_covid
2020-01-19,14390,Sun,Weekend,Fitbit,1,pre_covid
2020-01-20,14115,Mon,Weekday,Fitbit,1,pre_covid
2020-01-21,18890,Tue,Weekday,Fitbit,1,pre_covid
2020-01-22,10282,Wed,Weekday,Fitbit,1,pre_covid
2020-01-23,16061,Thu,Weekday,Fitbit,1,pre_covid
2020-01-24,18519,Fri,Weekday,Fitbit,1,pre_covid
2020-01-25,16309,Sat,Weekend,Fitbit,1,pre_covid
2020-01-26,14876,Sun,Weekend,Fitbit,1,pre_covid
2020-01-27,11380,Mon,Weekday,Fitbit,1,pre_covid
2020-01-28,17587,Tue,Weekday,Fitbit,1,pre_covid
2020-01-29,14698,Wed,Weekday,Fitbit,1,pre_covid
2020-01-30,15210,Thu,Weekday,Fitbit,1,pre_covid
2020-01-31,16098,Fri,Weekday,Fitbit,1,pre_covid
2020-02-01,20025,Sat,Weekend,Fitbit,2,pre_covid
2020-02-02,20935,Sun,Weekend,Fitbit,2,pre_covid
2020-02-03,13215,Mon,Weekday,Fitbit,2,pre_covid
2020-02-04,21399,Tue,Weekday,Fitbit,2,pre_covid
2020-02-05,19961,Wed,Weekday,Fitbit,2,pre_covid
